SKU_ID,Supplier_ID,Material_Category,UOM,Unit_Weight_KG,Base_Price_EUR
SKU-2026-00000,SUP-PUN-023,Steel_Forging,EA,1.44,46.79
SKU-2026-00001,SUP-NCR-035,Alum_Casting,EA,14.42,42.07
SKU-2026-00002,SUP-NCR-100,Steel_Forging,EA,3.7,10.71
SKU-2026-00003,SUP-CHE-033,Electronics,EA,10.25,12.21
SKU-2026-00004,SUP-CHE-115,Alum_Casting,KG,1.35,10.12
SKU-2026-00005,SUP-NCR-069,Alum_Casting,EA,3.59,47.77
SKU-2026-00006,SUP-CHE-041,Alum_Casting,KG,2.67,6.82
SKU-2026-00007,SUP-NCR-053,Electronics,KG,7.06,6.94
SKU-2026-00008,SUP-PUN-050,Steel_Forging,KG,6.61,39.96
SKU-2026-00009,SUP-NCR-102,Steel_Forging,EA,0.59,34.17
SKU-2026-00010,SUP-PUN-029,Alum_Casting,EA,3.22,14.93
SKU-2026-00011,SUP-PUN-110,Alum_Casting,KG,7.26,7.8
SKU-2026-00012,SUP-CHE-087,Electronics,EA,3.04,46.94
SKU-2026-00013,SUP-PUN-112,Steel_Forging,EA,7.29,7.17
SKU-2026-00014,SUP-NCR-107,Alum_Casting,EA,2.97,16.65
SKU-2026-00015,SUP-NCR-002,Steel_Forging,EA,1.19,6.19
SKU-2026-00016,SUP-PUN-037,Alum_Casting,KG,9.03,13.47
SKU-2026-00017,SUP-PUN-068,Steel_Forging,KG,1.13,47.15
SKU-2026-00018,SUP-NCR-060,Alum_Casting,KG,10.38,28.92
SKU-2026-00019,SUP-NCR-053,Alum_Casting,EA,4.82,6.02
SKU-2026-00020,SUP-PUN-024,Alum_Casting,EA,1.29,9.97
SKU-2026-00021,SUP-CHE-086,Alum_Casting,KG,0.79,6.63
SKU-2026-00022,SUP-CHE-090,Alum_Casting,EA,2.76,45.92
SKU-2026-00023,SUP-CHE-056,Electronics,EA,2.96,19.61
SKU-2026-00024,SUP-CHE-094,Electronics,EA,1.42,32.7
SKU-2026-00025,SUP-PUN-077,Alum_Casting,EA,3.86,27.45
SKU-2026-00026,SUP-CHE-081,Alum_Casting,EA,12.64,44.55
SKU-2026-00027,SUP-PUN-050,Electronics,KG,5.35,42.93
SKU-2026-00028,SUP-PUN-109,Steel_Forging,EA,7.51,33.37
SKU-2026-00029,SUP-CHE-030,Electronics,EA,6.92,41.55
SKU-2026-00030,SUP-NCR-002,Electronics,EA,9.24,32.97
SKU-2026-00031,SUP-NCR-049,Electronics,EA,2.24,23.75
SKU-2026-00032,SUP-PUN-063,Steel_Forging,KG,0.76,17.39
SKU-2026-00033,SUP-CHE-090,Electronics,EA,3.67,36.97
SKU-2026-00034,SUP-CHE-000,Alum_Casting,EA,7.32,30.21
